Korning,Vanilla_LCP_s,React_LCP_s,Vanilla_TBT_ms,React_TBT_ms,Vanilla_SpeedIndex_s,React_SpeedIndex_s
1,0.34,1.69,0,67.0,0.347,0.886
2,0.34,1.729,0,88,0.345,0.886
3,0.34,1.729,0,84,0.346,0.885
4,0.34,1.729,0,96,0.35,0.885
5,0.34,1.729,0,83,0.344,0.885
6,0.34,1.729,0,96,0.347,0.885
7,0.34,1.688,0,66.3,0.347,0.884
8,0.34,1.689,0,66.1,0.344,0.885
9,0.34,1.687,0,63.4,0.342,0.884
10,0.34,1.728,0,86,0.338,0.885
11,0.34,1.729,0,87,0.348,0.885
12,0.34,1.688,0,69.2,0.348,0.885
13,0.34,1.729,0,86,0.35,0.885
14,0.34,1.729,0,87,0.341,0.886
15,0.34,1.729,0,103,0.346,0.885
16,0.34,1.689,0,63.2,0.34,0.885
17,0.34,1.727,0,87,0.342,0.884
18,0.34,1.728,0,98,0.342,0.885
19,0.34,1.688,0,68.2,0.344,0.885
20,0.34,1.73,0,86,0.345,0.886
21,0.34,1.728,0,89,0.348,0.885
22,0.34,1.688,0,70.3,0.341,0.884
23,0.34,1.728,0,95,0.341,0.885
24,0.34,1.729,0,85,0.342,0.885
25,0.34,1.687,0,64.3,0.346,0.884
26,0.34,1.689,0,68.1,0.343,0.885
27,0.34,1.728,0,87,0.344,0.884
28,0.34,1.728,0,87,0.345,0.885
29,0.34,1.689,0,70.1,0.339,0.886
30,0.34,1.69,0,67.0,0.348,0.886
31,0.34,1.73,0,92,0.343,0.886
32,0.34,1.729,0,87,0.339,0.885
33,0.34,1.688,0,75.2,0.346,0.885
34,0.34,1.728,0,86,0.346,0.885
35,0.34,1.728,0,92,0.348,0.885
36,0.34,1.728,0,82,0.348,0.885
37,0.34,1.728,0,86,0.346,0.885
38,0.34,1.73,0,85,0.346,0.886
39,0.34,1.729,0,91,0.342,0.885
40,0.34,1.729,0,86,0.342,0.885
41,0.34,1.729,0,83,0.345,0.886
42,0.34,1.73,0,88,0.344,0.886
43,0.34,1.689,0,72.2,0.347,0.885
44,0.34,1.728,0,98,0.345,0.885
45,0.34,1.729,0,85,0.341,0.885
46,0.34,1.729,0,85,0.343,0.885
47,0.34,1.728,0,87,0.338,0.885
48,0.34,1.729,0,94,0.347,0.885
49,0.34,1.689,0,73.1,0.346,0.885
50,0.34,1.729,0,85,0.349,0.885
51,0.34,1.729,0,87,0.347,0.885
52,0.34,1.689,0,66.1,0.342,0.885
53,0.34,1.729,0,88,0.348,0.885
54,0.34,1.69,0,81.0,0.348,0.886
55,0.34,1.689,0,68.2,0.34,0.885
56,0.34,1.688,0,66.2,0.347,0.885
57,0.34,1.729,0,85,0.344,0.885
58,0.34,1.732,0,92.8,0.349,0.887
59,0.34,1.689,0,78.2,0.349,0.885
60,0.34,1.689,0,64.1,0.34,0.885
61,0.34,1.729,0,87,0.343,0.885
62,0.34,1.729,0,96,0.347,0.885
63,0.34,1.729,0,86,0.341,0.885
64,0.34,1.729,0,85,0.346,0.886
65,0.34,1.728,0,91,0.341,0.884
66,0.34,1.728,0,87,0.345,0.885
67,0.34,1.688,0,68.2,0.346,0.885
68,0.34,1.73,0,87,0.342,0.886
69,0.34,1.73,0,91,0.345,0.886
70,0.34,1.728,0,82,0.342,0.884
71,0.34,1.728,0,91,0.341,0.885
72,0.34,1.729,0,95,0.348,0.885
73,0.34,1.729,0,102,0.341,0.885
74,0.34,1.688,0,74.2,0.348,0.885
75,0.34,1.689,0,64.2,0.34,0.885
76,0.34,1.731,0,105.9,0.342,0.886
77,0.34,1.728,0,86,0.341,0.885
78,0.34,1.728,0,86,0.344,0.884
79,0.34,1.728,0,88,0.346,0.885
80,0.34,1.729,0,86,0.344,0.885
81,0.34,1.729,0,93,0.347,0.885
82,0.34,1.73,0,84.0,0.341,0.886
83,0.34,1.689,0,62.1,0.349,0.886
84,0.34,1.728,0,89,0.345,0.884
85,0.34,1.729,0,100,0.341,0.885
86,0.34,1.728,0,95,0.345,0.885
87,0.34,1.728,0,91,0.346,0.884
88,0.34,1.728,0,86,0.343,0.884
89,0.34,1.728,0,91,0.347,0.885
90,0.34,1.731,0,95,0.346,0.886
91,0.34,1.688,0,63.3,0.349,0.884
92,0.34,1.688,0,70.2,0.347,0.885
93,0.34,1.688,0,69.3,0.342,0.884
94,0.34,1.729,0,86,0.346,0.885
95,0.34,1.729,0,86,0.348,0.885
96,0.34,1.728,0,100,0.343,0.884
97,0.34,1.728,0,93,0.348,0.884
98,0.34,1.728,0,87,0.345,0.885
99,0.34,1.729,0,87,0.347,0.885
100,0.34,1.728,0,86,0.348,0.885
