Korning,Vanilla_LCP_s,React_LCP_s,Vanilla_TBT_ms,React_TBT_ms,Vanilla_SpeedIndex_s,React_SpeedIndex_s
1,0.34,1.568,0,47.3,0.346,0.884
2,0.34,1.609,0,70,0.339,0.885
3,0.34,1.608,0,65,0.345,0.885
4,0.34,1.608,0,67,0.347,0.884
5,0.34,1.608,0,68,0.347,0.884
6,0.34,1.61,0,66.0,0.343,0.886
7,0.34,1.607,0,68,0.339,0.884
8,0.34,1.608,0,72,0.348,0.885
9,0.34,1.606,0,78,0.339,0.883
10,0.34,1.608,0,69,0.338,0.884
11,0.34,1.609,0,78,0.346,0.885
12,0.34,1.607,0,67,0.341,0.884
13,0.34,1.608,0,67,0.344,0.884
14,0.34,1.609,0,71,0.34,0.885
15,0.34,1.608,0,76,0.341,0.884
16,0.34,1.569,0,49.1,0.346,0.885
17,0.34,1.568,0,56.2,0.344,0.885
18,0.34,1.609,0,75,0.344,0.885
19,0.34,1.609,0,65,0.342,0.885
20,0.34,1.608,0,67,0.34,0.885
21,0.34,1.609,0,67,0.344,0.885
22,0.34,1.609,0,66,0.345,0.885
23,0.34,1.608,0,66,0.343,0.884
24,0.34,1.609,0,65,0.343,0.885
25,0.34,1.61,0,70,0.344,0.886
26,0.34,1.568,0,44.2,0.341,0.885
27,0.34,1.608,0,73,0.348,0.885
28,0.34,1.608,0,68,0.345,0.885
29,0.34,1.608,0,66,0.339,0.885
30,0.34,1.609,0,75,0.342,0.885
31,0.34,1.608,0,67,0.343,0.885
32,0.34,1.609,0,69,0.348,0.885
33,0.34,1.609,0,70,0.343,0.885
34,0.34,1.569,0,47.2,0.342,0.885
35,0.34,1.609,0,65,0.34,0.885
36,0.34,1.607,0,65,0.344,0.884
37,0.34,1.609,0,67,0.34,0.885
38,0.34,1.609,0,67,0.339,0.885
39,0.34,1.608,0,66,0.345,0.885
40,0.34,1.568,0,47.2,0.344,0.885
41,0.34,1.608,0,63,0.343,0.885
42,0.34,1.569,0,49.1,0.341,0.885
43,0.34,1.608,0,66,0.342,0.885
44,0.34,1.606,0,66,0.34,0.883
45,0.34,1.609,0,66,0.344,0.885
46,0.34,1.569,0,45.1,0.344,0.885
47,0.34,1.609,0,65,0.34,0.885
48,0.34,1.609,0,65,0.344,0.885
49,0.34,1.609,0,66,0.346,0.885
50,0.34,1.608,0,71,0.341,0.884
51,0.34,1.571,0,61.6,0.347,0.886
52,0.34,1.608,0,64,0.345,0.885
53,0.34,1.609,0,69,0.341,0.885
54,0.34,1.61,0,66.0,0.341,0.886
55,0.34,1.609,0,82,0.339,0.885
56,0.34,1.608,0,73,0.343,0.885
57,0.34,1.609,0,70,0.34,0.885
58,0.34,1.607,0,66,0.342,0.884
59,0.34,1.609,0,64,0.339,0.885
60,0.34,1.61,0,71.0,0.342,0.886
61,0.34,1.608,0,66,0.345,0.885
62,0.34,1.608,0,70,0.342,0.884
63,0.34,1.609,0,69,0.341,0.885
64,0.34,1.608,0,65,0.346,0.884
65,0.34,1.609,0,80,0.345,0.885
66,0.34,1.608,0,66,0.345,0.885
67,0.34,1.608,0,67,0.341,0.885
68,0.34,1.608,0,71,0.342,0.885
69,0.34,1.608,0,66,0.347,0.885
70,0.34,1.571,0,50.9,0.342,0.886
71,0.34,1.608,0,71,0.344,0.885
72,0.34,1.608,0,66,0.344,0.884
73,0.34,1.61,0,78.9,0.34,0.886
74,0.34,1.609,0,68,0.343,0.885
75,0.34,1.608,0,65,0.346,0.885
76,0.34,1.608,0,69,0.339,0.884
77,0.34,1.609,0,79,0.34,0.885
78,0.34,1.608,0,65,0.339,0.884
79,0.34,1.609,0,81,0.345,0.885
80,0.34,1.609,0,79,0.339,0.885
81,0.34,1.608,0,68,0.34,0.885
82,0.34,1.568,0,47.3,0.34,0.884
83,0.34,1.569,0,53.1,0.345,0.885
84,0.34,1.608,0,68,0.342,0.885
85,0.34,1.609,0,67,0.346,0.885
86,0.34,1.608,0,65,0.345,0.884
87,0.34,1.608,0,82,0.34,0.885
88,0.34,1.609,0,74,0.343,0.885
89,0.34,1.57,0,56.0,0.345,0.886
90,0.34,1.608,0,69,0.342,0.885
91,0.34,1.609,0,66,0.341,0.885
92,0.34,1.568,0,47.2,0.34,0.885
93,0.34,1.609,0,65,0.345,0.885
94,0.34,1.568,0,49.3,0.345,0.884
95,0.34,1.608,0,66,0.342,0.884
96,0.34,1.608,0,63,0.342,0.884
97,0.34,1.609,0,79,0.341,0.885
98,0.34,1.57,0,47.0,0.342,0.886
99,0.34,1.609,0,77,0.34,0.886
100,0.34,1.609,0,67,0.346,0.885
